id,name,type,original_name,name_match
22351,The White Stripes,Group,The White Stripes,1.0
1489816,Brytiago,Person,Brytiago,1.0
1605,Scorpions,Group,Scorpions,1.0
936546,ODESZA,Group,ODESZA,1.0
1015506,Milky Chance,Group,Milky Chance,1.0
1754107,Tate McRae,Person,Tate McRae,1.0
1860445,Gimson,Person,GIMS,0.2
153,Prince,Person,Prince,1.0
1016480,Mustard,Person,Mustard,1.0
1321872,Rag’n’Bone Man,Person,Rag'n'Bone Man,0.8571428571428571
780663,Pedro Capó,Person,Pedro Capó,1.0
1282361,El Alfa,Person,El Alfa,1.0
782,Van Halen,Group,Van Halen,1.0
788324,WALK THE MOON,Group,WALK THE MOON,1.0
54739,Los Ángeles Azules,Group,Los Ángeles Azules,1.0
1460,Aretha Franklin,Person,Aretha Franklin,1.0
179,Shaggy,Person,Shaggy,1.0
250553,Carrie Underwood,Person,Carrie Underwood,1.0
88,Enya,Person,Enya,1.0
235127,Sabaton,Group,Sabaton,1.0
1360628,gnash,Person,gnash,1.0
821945,Hardwell,Person,Hardwell,1.0
86296,Don Diablo,Person,Don Diablo,1.0
1784564,MEDUZA,Group,MEDUZA,1.0
397,Sublime,Group,Sublime,1.0
